acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
31790.0,10.0,177.3078,81.37826,172.00714,-9.700918,0.54792476,-0.8414763,0.06289203,0.0144718215,0.102325335,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31800.0,11.0,177.63727,81.4268,172.31868,-9.615574,-0.32905048,-1.9611742,0.039700974,-0.03399439,-0.021586196,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31810.0,10.0,177.29764,81.39995,171.9542,-9.878142,0.27555782,-1.2820225,0.06215144,-0.032555312,0.029827097,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31820.0,10.0,177.06442,81.32273,171.72827,-9.403627,0.15784673,-1.422408,0.015217997,0.04089084,0.03648121,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31830.0,11.0,176.96303,81.27895,171.59363,-9.603354,0.35861954,-1.4168305,0.031108597,0.058332644,0.050158985,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31840.0,11.0,177.00352,81.25763,171.59373,-9.490727,0.40129003,-1.4635143,0.040959757,0.05673413,0.016728977,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31850.0,10.0,176.9202,81.25493,171.45288,-9.367153,0.47995043,-1.395779,0.062095944,0.038887378,0.02628658,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31860.0,10.0,176.984,81.26745,171.45367,-9.263003,0.38203007,-1.400615,0.07798245,0.020176359,0.018884806,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31870.0,10.0,177.14044,81.29828,171.54256,-9.329906,0.26161763,-1.4751154,0.0956973,-0.0029768792,-0.0030968336,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31880.0,11.0,177.18768,81.35499,171.54053,-9.245887,0.1303069,-1.3609574,0.10371153,-0.02967455,-0.013414027,-0.7326019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
