acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
20020.0,9.0,149.30167,86.09205,122.300316,-9.650023,1.0284503,-0.31536618,-0.061534725,0.03977177,0.0009408222,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20030.0,9.0,149.02112,86.203415,122.02052,-9.614145,0.46718255,-0.6015639,-0.04653186,-0.073063746,-0.050996244,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20040.0,11.0,148.80527,86.20321,121.83147,-9.983312,0.6202726,-0.39536682,-0.01802966,-0.06833152,-0.03763698,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20050.0,9.0,148.55286,86.145226,121.673744,-9.813617,0.57233655,-0.3552348,-0.07625781,-0.013912842,-0.0129699735,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20060.0,9.0,148.15761,86.06966,121.35623,-9.820937,0.83661675,-0.36537185,-0.10820145,0.025093373,0.025437964,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20070.0,10.0,147.80902,85.997284,121.052124,-9.712732,0.9227577,-0.33749416,-0.105484225,0.055826277,0.044530824,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20080.0,9.0,147.34514,85.94754,120.61471,-9.494819,0.89189935,-0.27873343,-0.08219184,0.05933663,0.0608055,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20090.0,10.0,146.78285,85.92677,120.06705,-9.284638,0.91940546,-0.2689249,-0.07184037,0.043431107,0.057342835,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100.0,10.0,145.90292,85.93895,119.16582,-9.066965,0.91668165,-0.29077557,-0.03854707,0.011451357,0.061645545,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110.0,9.0,144.67075,86.00228,117.88726,-8.921269,0.87314016,-0.3171687,-0.0005137176,-0.045106187,0.058599003,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120.0,11.0,143.02295,86.11022,116.17901,-8.855293,0.73822165,-0.3882929,0.03708062,-0.121470556,0.050687615,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20130.0,9.0,140.83916,86.24329,113.93728,-8.777425,0.7294822,-0.35282096,0.060465008,-0.194392,0.04417469,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140.0,10.0,137.71295,86.39854,110.75549,-8.521696,0.86567783,-0.16106875,0.06871356,-0.26853433,0.050442867,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150.0,9.0,132.82567,86.60051,105.80038,-8.023806,0.9872145,0.24500373,0.076772876,-0.36149383,0.068710595,-0.79365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
