acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
5010.0,0.0,1.9926484,65.84057,-21.473225,-8.225474,0.4457217,2.4029243,0.06787872,-0.33664197,0.016228678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5020.0,0.0,2.0211897,65.625175,-21.477737,-8.187387,0.6424959,2.4336078,0.061921623,-0.34844297,0.013364674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5030.0,0.0,2.037826,65.37857,-21.502337,-8.183955,0.8604899,2.493488,0.05918763,-0.3755397,0.005076269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040.0,0.0,2.0562708,65.09704,-21.533144,-8.206263,1.0609369,2.5990374,0.067119166,-0.4153621,-0.0019405056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050.0,0.0,2.0486708,64.77144,-21.592062,-8.3349085,1.1363112,2.8278935,0.06934467,-0.46374953,-0.005554414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5060.0,0.0,1.9412446,64.38428,-21.759838,-8.686933,0.94196415,2.9792204,0.07379305,-0.5329712,-0.027296722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5070.0,0.0,1.6364231,63.923862,-22.132992,-9.377631,0.58760417,3.3044565,0.06870956,-0.6222608,-0.08814685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5080.0,0.0,1.0556344,63.38374,-22.784105,-10.059376,-0.009230443,3.6210473,0.055779103,-0.7346041,-0.205774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5090.0,0.0,0.12466363,62.80929,-23.740227,-10.6402855,-0.4602963,3.8430908,0.014869365,-0.8536684,-0.37236238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100.0,0.0,-1.1608347,62.307556,-24.974176,-11.06568,-0.60258675,4.1273894,-0.09782288,-0.902935,-0.5862194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5110.0,0.0,-2.6593983,61.95877,-26.362345,-11.495751,-0.5242246,4.2366166,-0.22016595,-0.82869923,-0.79551053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
