acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
72450.0,14.0,95.638435,83.61848,58.188404,-10.259504,1.3291585,0.29221517,0.024263378,-0.003188849,-0.120989256,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72460.0,12.0,95.38259,83.64184,57.869926,-9.977383,0.7545358,-0.22348191,0.12002347,-0.05705581,-0.0826549,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72470.0,14.0,95.739044,83.63518,58.28523,-9.856497,1.1792417,0.15111008,0.015624055,-0.016359985,-0.0832811,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72480.0,15.0,96.2974,83.58385,58.85387,-9.736953,1.2506438,-0.025122503,0.011747146,0.03578123,-0.005811454,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72490.0,13.0,96.821594,83.581154,59.380054,-9.823916,1.4971231,0.030592812,-0.0024683778,0.062319458,-0.01052134,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72500.0,14.0,97.365875,83.573494,59.887257,-9.686677,1.5447137,0.07372021,0.02201479,0.07129518,-0.012600422,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72510.0,10.0,97.970566,83.56733,60.428864,-9.4409075,1.5951796,0.16003877,0.051482953,0.08622948,-0.007125363,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72520.0,12.0,98.38482,83.58283,60.75467,-9.201452,1.5024303,0.1826281,0.09239298,0.08672049,-0.019183386,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72530.0,11.0,98.372536,83.61208,60.65252,-9.159887,1.3420427,0.11972693,0.122862525,0.05390254,-0.034356497,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72540.0,15.0,98.034645,83.6427,60.231,-9.1254425,1.2021284,0.025943166,0.13137516,0.0009721147,-0.042961545,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72550.0,12.0,97.55518,83.67319,59.67651,-9.089195,1.0471687,-0.024102572,0.13899338,-0.04019217,-0.043118384,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72560.0,14.0,96.801186,83.704994,58.87112,-9.063823,1.1048,0.04447578,0.12369848,-0.076730564,-0.04857221,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72570.0,14.0,95.57446,83.722115,57.59868,-8.960416,1.1935543,0.18757415,0.10285956,-0.12835303,-0.040648516,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72580.0,14.0,93.786415,83.73177,55.75437,-8.904275,1.2554393,0.25555295,0.09346923,-0.19816388,-0.022345413,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72590.0,12.0,91.38579,83.73954,53.282917,-8.855763,1.3872861,0.34671652,0.094582,-0.28682584,-0.01679324,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72600.0,13.0,88.3835,83.72324,50.19655,-8.720732,1.4468094,0.41973266,0.103340544,-0.38684517,-0.00856631,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72610.0,9.0,84.7641,83.66934,46.495842,-8.544113,1.3506408,0.43595904,0.1125611,-0.49290684,0.008131014,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72620.0,12.0,80.52976,83.56176,42.19591,-8.473505,1.3583353,0.41830185,0.10046062,-0.6121358,0.023976192,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72630.0,10.0,75.82902,83.37481,37.42506,-8.276302,1.3492787,0.45446938,0.087190814,-0.73708284,0.0524021,-1.4651958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
