acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
5010.0,32.0,35.881893,81.24492,62.864388,-9.642343,0.728699,1.0994363,-0.008260089,-0.12980516,0.14339408,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5020.0,32.0,36.016956,81.09085,63.034607,-9.598829,0.829326,1.1142473,-0.027701637,-0.15595594,0.1617568,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5030.0,32.0,36.17187,80.943184,63.218346,-9.622211,0.93274045,1.2458199,-0.0392411,-0.1686618,0.17263651,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040.0,32.0,36.324104,80.80252,63.39009,-9.614081,0.94361615,1.2970765,-0.03569164,-0.17003794,0.17774609,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050.0,32.0,36.422523,80.66799,63.51223,-9.634789,0.9631139,1.2935865,-0.034693636,-0.1723096,0.17476739,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5060.0,32.0,36.51089,80.541855,63.634026,-9.620374,0.9503875,1.3441864,-0.040350866,-0.17028454,0.1663013,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5070.0,32.0,36.583496,80.421394,63.75425,-9.622729,0.87585545,1.3948556,-0.050463907,-0.16243388,0.1637625,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5080.0,32.0,36.52393,80.31008,63.75075,-9.603923,0.9210065,1.3556087,-0.07101784,-0.15968087,0.15193878,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5090.0,32.0,36.300755,80.208534,63.571125,-9.631803,1.0682042,1.3468301,-0.07810147,-0.16316104,0.12322388,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100.0,32.0,35.944378,80.11255,63.24474,-9.611871,1.1842461,1.3270139,-0.07412173,-0.17418604,0.08775462,-1.9535962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
