step_time
0.705
1.085
1.425
2.125
2.435
2.775
3.12
3.475
3.805
4.165
4.8
5.595
6.455
7.27
8.045
8.91
9.68
10.56
11.43
12.28
13.05
13.94
14.7
15.71
16.585
17.36
18.02
18.845
19.78
20.55
21.215
22.215
22.595
22.99
23.925
24.26
24.67
25.795
26.14
26.46
26.865
27.62
28.125
29.02
29.64
30.445
31.405
32.11
