relative_time_ms,force,accX,accY
0,4.94505500793457,-6.861227512359619,-10.842483520507812
5,4.94505500793457,-7.5590362548828125,-7.953802585601807
10,4.94505500793457,-8.593398094177246,-5.3805928230285645
15,4.94505500793457,-9.650312423706055,-2.927255630493164
20,4.94505500793457,-10.125069618225098,-0.7095791101455688
25,4.94505500793457,-9.88609504699707,1.152314305305481
30,4.94505500793457,-9.052714347839355,2.42828369140625
35,4.94505500793457,-8.04314136505127,2.908477306365967
40,4.94505500793457,-7.122956275939941,2.8811562061309814
45,4.94505500793457,-6.323084354400635,2.207000732421875
50,4.94505500793457,-5.613514423370361,1.074053168296814
55,4.94505500793457,-5.0024542808532715,-0.6481721997261047
60,4.94505500793457,-4.528835296630859,-2.5850374698638916
65,4.94505500793457,-4.164941787719727,-4.748178482055664
70,4.94505500793457,-3.8740432262420654,-6.662184715270996
75,4.94505500793457,-3.636826992034912,-8.34974479675293
80,4.94505500793457,-3.5259692668914795,-9.675186157226562
85,4.94505500793457,-3.5427215099334717,-10.665754318237305
90,4.94505500793457,-3.657407522201538,-11.444887161254883
95,4.94505500793457,-3.8937790393829346,-11.80417537689209
100,4.94505500793457,-4.206595420837402,-11.87445068359375
105,4.94505500793457,-4.478757858276367,-11.589174270629883
110,4.94505500793457,-4.606171607971191,-10.919133186340332
115,4.94505500793457,-4.571885585784912,-9.904586791992188
120,4.94505500793457,-4.472932815551758,-8.78308391571045
125,4.94505500793457,-4.3648552894592285,-7.704375743865967
130,4.94505500793457,-4.217909336090088,-6.79539155960083
135,4.94505500793457,-4.04795503616333,-6.052396297454834
140,4.94505500793457,-3.8434722423553467,-5.423630237579346
145,4.94505500793457,-3.6213386058807373,-5.120748996734619
150,4.94505500793457,-3.3954317569732666,-5.169798851013184
155,4.94505500793457,-3.1527044773101807,-5.253845691680908
160,4.8229546546936035,-2.9102048873901367,-5.648060321807861
165,4.700854778289795,-2.7189581394195557,-6.158454895019531
170,4.700854778289795,-2.5788650512695312,-6.772829055786133
175,4.578754901885986,-2.465193748474121,-7.246811866760254
180,4.456654071807861,-2.3809244632720947,-7.643856048583984
185,4.273504257202148,-2.367145299911499,-7.974558353424072
190,4.273504257202148,-2.4364144802093506,-8.275298118591309
195,4.273504257202148,-2.5517585277557373,-8.492573738098145
200,4.090353965759277,-2.7053143978118896,-8.590407371520996
205,4.090353965759277,-2.9091198444366455,-8.720972061157227
210,3.9682540893554688,-3.1768786907196045,-8.794483184814453
215,3.9682540893554688,-3.5083019733428955,-8.949073791503906
220,3.7851037979125977,-3.895292043685913,-9.10605239868164
225,3.7851037979125977,-4.301619052886963,-9.336832046508789
230,3.66300368309021,-4.684401512145996,-9.599658966064453
235,3.6019535064697266,-5.000382423400879,-9.744782447814941
240,3.6019535064697266,-5.247584819793701,-9.779250144958496
245,3.479853391647339,-5.410109043121338,-9.694660186767578
250,3.479853391647339,-5.500772476196289,-9.510080337524414
255,3.479853391647339,-5.566447734832764,-9.218810081481934
260,3.4188034534454346,-5.623959064483643,-8.871068954467773
265,3.296703338623047,-5.665682315826416,-8.510194778442383
270,3.296703338623047,-5.686471939086914,-8.087120056152344
275,3.174602746963501,-5.693421840667725,-7.613460540771484
280,3.174602746963501,-5.702038288116455,-7.120516300201416
285,3.174602746963501,-5.754833698272705,-6.614690780639648
290,3.174602746963501,-5.886653423309326,-6.190598964691162
295,3.9072039127349854,-6.094518661499023,-5.803584098815918
300,4.334554672241211,-6.392690658569336,-5.509850978851318
305,3.7240540981292725,-6.763818740844727,-5.574502944946289
310,3.66300368309021,-7.147744655609131,-6.266249656677246
315,3.66300368309021,-7.516298770904541,-7.303390026092529
320,3.66300368309021,-7.923858165740967,-8.583353996276855
325,4.090353965759277,-8.469365119934082,-10.146858215332031
330,4.395604610443115,-9.089595794677734,-11.440149307250977
335,4.395604610443115,-9.666681289672852,-12.43072509765625
340,4.395604610443115,-10.04847240447998,-12.811437606811523
345,4.395604610443115,-10.20518684387207,-12.85567569732666
350,4.395604610443115,-10.272817611694336,-12.749390602111816
355,4.395604610443115,-10.308838844299316,-12.690173149108887
360,4.395604610443115,-10.291863441467285,-12.374245643615723
365,4.395604610443115,-10.253751754760742,-11.730154037475586
370,4.395604610443115,-10.350663185119629,-11.236651420593262
375,4.395604610443115,-10.622997283935547,-10.728285789489746
380,4.395604610443115,-10.902603149414062,-10.389668464660645
385,4.395604610443115,-11.083168983459473,-10.089278221130371
390,4.395604610443115,-11.144953727722168,-9.813669204711914
395,4.517704486846924,-11.227739334106445,-9.572344779968262
400,4.639804840087891,-11.464035987854004,-9.474063873291016
405,4.8229546546936035,-11.797049522399902,-9.467416763305664
410,5.006104946136475,-12.128484725952148,-9.562897682189941
415,5.128204345703125,-12.414753913879395,-9.815156936645508
420,5.433454990386963,-12.6122465133667,-10.016342163085938
425,5.921855449676514,-12.787708282470703,-10.397987365722656
430,6.471306324005127,-12.939083099365234,-10.867664337158203
435,7.081806659698486,-13.012497901916504,-11.32405948638916
440,7.692306995391846,-13.017528533935547,-11.964727401733398
445,8.302807807922363,-12.950300216674805,-12.723001480102539
450,9.157509803771973,-12.764232635498047,-13.423737525939941
455,10.19536018371582,-12.3991117477417,-13.761467933654785
460,11.294261932373047,-11.913905143737793,-13.478382110595703
465,12.210012435913086,-11.38818073272705,-12.731298446655273
470,13.125763893127441,-10.853906631469727,-11.555074691772461
475,14.102564811706543,-10.31494426727295,-10.059188842773438
480,14.89621639251709,-9.854083061218262,-8.51534366607666
485,15.628815650939941,-9.50434684753418,-7.059399604797363
490,16.239315032958984,-9.25197696685791,-5.5966796875
495,16.849817276000977,-9.029760360717773,-4.340915203094482
500,17.460317611694336,-8.75999927520752,-3.107191801071167
505,18.070817947387695,-8.49761962890625,-1.9724677801132202
510,18.498167037963867,-8.368971824645996,-1.0369399785995483
515,18.681320190429688,-8.435133934020996,-0.14868690073490143
520,18.681320190429688,-8.696420669555664,0.5627644062042236
525,18.742368698120117,-9.08470344543457,1.2967942953109741
530,18.742368698120117,-9.450180053710938,1.770972490310669
535,18.986568450927734,-9.754617691040039,1.9807825088500977
540,19.536020278930664,-10.00438117980957,1.3076239824295044
545,20.085468292236328,-10.149495124816895,0.30772078037261963
550,20.5128173828125,-10.140220642089844,-0.8883260488510132
555,20.94017219543457,-10.02872371673584,-2.54392147064209
560,21.428569793701172,-9.832390785217285,-4.128467559814453
565,21.978023529052734,-9.544404029846191,-5.7660298347473145
570,22.466421127319336,-9.133066177368164,-7.378723621368408
575,22.954822540283203,-8.5631742477417,-8.809932708740234
580,23.199026107788086,-7.878719806671143,-9.974536895751953
585,23.382173538208008,-7.236285209655762,-10.608358383178711
590,23.626373291015625,-6.775164604187012,-10.703307151794434
595,23.809524536132812,-6.553668975830078,-10.48989486694336
600,24.053722381591797,-6.558130264282227,-9.977211952209473
605,24.297924041748047,-6.789944648742676,-8.929839134216309
610,24.4810733795166,-7.174190998077393,-7.597895622253418
615,24.4810733795166,-7.648356914520264,-6.422873497009277
620,24.542125701904297,-8.127918243408203,-5.4387898445129395
625,24.542125701904297,-8.527205467224121,-4.765623092651367
630,24.542125701904297,-8.807950019836426,-4.24743127822876
635,24.542125701904297,-8.971796035766602,-4.123951435089111
640,24.542125701904297,-9.07518196105957,-4.474851131439209
645,24.542125701904297,-9.154977798461914,-5.256723880767822
650,24.542125701904297,-9.164946556091309,-6.0910139083862305
655,24.542125701904297,-9.07991886138916,-6.9934821128845215
660,24.542125701904297,-8.936629295349121,-7.855868339538574
665,24.420024871826172,-8.805109024047852,-8.780067443847656
670,23.809524536132812,-8.780917167663574,-9.664010047912598
675,23.199026107788086,-8.932613372802734,-10.483640670776367
680,22.466421127319336,-9.333311080932617,-11.181138038635254
685,21.24542236328125,-10.045957565307617,-11.364567756652832
690,20.0244197845459,-11.02754020690918,-10.834285736083984
695,18.80341911315918,-12.182247161865234,-9.79821491241455
700,17.58241844177246,-13.443428039550781,-8.747061729431152
705,16.117216110229492,-14.650306701660156,-7.422085762023926
710,14.529913902282715,-15.51158332824707,-5.698596477508545
715,13.30891227722168,-15.959891319274902,-4.6443705558776855
720,12.087911605834961,-15.812010765075684,-5.125736236572266
725,10.866909980773926,-14.772804260253906,-7.849576950073242
730,9.645909309387207,-12.754369735717773,-11.795069694519043
735,8.485957145690918,-10.139657974243164,-14.901033401489258
740,7.875457286834717,-7.769226551055908,-16.099206924438477
745,7.264956951141357,-6.360033988952637,-16.30348014831543
750,6.65445613861084,-5.798685550689697,-16.719066619873047
755,6.0439558029174805,-5.606902599334717,-16.534404754638672
760,5.433454990386963,-5.856903076171875,-15.320411682128906
765,5.128204345703125,-6.641561985015869,-13.434725761413574
770,5.067155361175537,-7.893974781036377,-11.28894329071045
775,5.067155361175537,-9.465524673461914,-8.732492446899414
780,5.067155361175537,-11.189088821411133,-6.114160060882568
785,5.067155361175537,-13.065359115600586,-3.805434226989746
790,5.067155361175537,-14.775901794433594,-1.6531052589416504
795,5.067155361175537,-15.936793327331543,0.31038564443588257
800,5.067155361175537,-16.437257766723633,1.648833990097046
805,5.067155361175537,-16.209693908691406,2.47676420211792
810,5.067155361175537,-15.431487083435059,2.6324098110198975
815,5.067155361175537,-14.32797622680664,2.17755126953125
820,5.067155361175537,-13.049548149108887,1.3603729009628296
825,5.25030517578125,-11.779708862304688,0.03982188180088997
830,5.3113555908203125,-10.625035285949707,-1.5024445056915283
835,5.494505882263184,-9.545695304870605,-3.0306756496429443
840,5.738705635070801,-8.572418212890625,-4.577185153961182
845,5.860805034637451,-7.749878406524658,-6.032006740570068
850,5.860805034637451,-7.108970642089844,-7.5682053565979
855,5.860805034637451,-6.605791091918945,-9.014693260192871
860,5.921855449676514,-6.261294364929199,-9.993629455566406
865,5.921855449676514,-6.103770732879639,-10.403227806091309
870,5.921855449676514,-6.146852016448975,-10.267436981201172
875,5.921855449676514,-6.36387300491333,-9.889935493469238
880,5.921855449676514,-6.683567047119141,-9.361841201782227
885,5.921855449676514,-7.037864685058594,-8.711155891418457
890,5.921855449676514,-7.387441158294678,-7.985642433166504
895,5.921855449676514,-7.656872749328613,-7.173827171325684
900,5.921855449676514,-7.803889274597168,-6.371886253356934
905,5.921855449676514,-7.828989028930664,-5.843019008636475
910,5.921855449676514,-7.755005359649658,-5.536444187164307
915,5.921855449676514,-7.634060859680176,-5.473629951477051
920,5.921855449676514,-7.521317958831787,-5.822497367858887
925,5.921855449676514,-7.412121295928955,-6.359729766845703
930,5.921855449676514,-7.301309108734131,-7.169386863708496
935,5.921855449676514,-7.199812412261963,-8.068673133850098
940,5.921855449676514,-7.095250606536865,-8.868264198303223
945,5.921855449676514,-6.994710922241211,-9.428632736206055
950,5.921855449676514,-6.901120185852051,-9.709640502929688
955,5.921855449676514,-6.78315544128418,-9.827157974243164
960,5.921855449676514,-6.640226364135742,-9.768630981445312
965,5.921855449676514,-6.471624851226807,-9.546782493591309
970,5.921855449676514,-6.304559230804443,-9.092706680297852
975,5.921855449676514,-6.144962310791016,-8.531180381774902
980,5.921855449676514,-5.996979236602783,-7.860604763031006
985,5.921855449676514,-5.841211795806885,-7.247856140136719
990,5.921855449676514,-5.737143039703369,-6.614670753479004
995,5.921855449676514,-5.717343330383301,-6.124917984008789
1000,5.921855449676514,-5.786303997039795,-5.7447123527526855
1005,5.921855449676514,-5.9136152267456055,-5.491860389709473
1010,5.921855449676514,-6.072295188903809,-5.479501247406006
1015,5.921855449676514,-6.244966506958008,-5.694864749908447
1020,5.921855449676514,-6.419950485229492,-6.080569744110107
1025,5.860805034637451,-6.601704120635986,-6.5455474853515625
1030,5.860805034637451,-6.804134368896484,-7.233269691467285
1035,5.738705635070801,-7.026709079742432,-7.924117088317871
1040,5.6776556968688965,-7.264167308807373,-8.627666473388672
1045,5.6776556968688965,-7.518662929534912,-9.187934875488281
1050,5.6776556968688965,-7.79637336730957,-9.656105041503906
1055,5.6776556968688965,-8.079584121704102,-9.932049751281738
1060,5.616605281829834,-8.357226371765137,-10.118185997009277
1065,6.471306324005127,-8.617072105407715,-10.264010429382324
1070,6.898656845092773,-8.8391752243042,-10.300040245056152
1075,6.349205493927002,-8.996637344360352,-10.177425384521484
1080,6.22710657119751,-9.095924377441406,-10.065376281738281
1085,5.616605281829834,-9.150083541870117,-9.843456268310547
1090,5.189255237579346,-9.23587417602539,-9.845297813415527
1095,5.189255237579346,-9.459685325622559,-9.85002613067627
1100,5.6776556968688965,-9.816182136535645,-9.853641510009766
1105,5.921855449676514,-10.200845718383789,-9.92544174194336
1110,5.921855449676514,-10.566205024719238,-10.229053497314453
1115,6.0439558029174805,-10.959604263305664,-10.974102020263672
1120,6.5323567390441895,-11.353568077087402,-11.562431335449219
1125,6.5323567390441895,-11.770832061767578,-12.121402740478516
1130,6.5323567390441895,-12.261337280273438,-12.627116203308105
1135,6.5323567390441895,-12.660796165466309,-12.844450950622559
1140,6.5323567390441895,-12.849061012268066,-12.9177827835083
1145,6.5323567390441895,-12.930453300476074,-12.857955932617188
1150,6.5323567390441895,-13.091412544250488,-12.680299758911133
1155,6.5323567390441895,-13.334321022033691,-12.373628616333008
1160,6.5323567390441895,-13.585368156433105,-12.026308059692383
1165,6.776556491851807,-13.76639461517334,-11.551593780517578
1170,7.32600736618042,-13.941781044006348,-11.01700210571289
1175,7.9365081787109375,-14.271150588989258,-10.777678489685059
1180,8.547008514404297,-14.67699909210205,-10.933860778808594
1185,9.157509803771973,-14.94942855834961,-11.241192817687988
1190,10.01220989227295,-15.059073448181152,-11.707419395446777
1195,11.11111068725586,-15.15294361114502,-12.35180950164795
1200,11.965811729431152,-15.269800186157227,-12.686230659484863
1205,12.820512771606445,-15.291253089904785,-12.512845993041992
1210,13.85836410522461,-15.074492454528809,-12.043079376220703
1215,15.079364776611328,-14.662742614746094,-11.250463485717773
1220,16.239315032958984,-14.143645286560059,-10.340981483459473
