step_time
0.585
0.915
1.74
2.855
4.115
5.315
6.385
8.17
9.465
10.91
11.265
12.17
12.685
13.41
14.95
15.365
16.425
17.75
18.39
19.23
20.765
21.19
23.415
24.8
26.525
27.9
29.475
31.005
