relative_time_ms,force,accX,accY
0,2.0757081508636475,-0.3911926746368408,-7.796228885650635
5,2.0757081508636475,-0.400065541267395,-7.956760406494141
10,2.0757081508636475,-0.4416903853416443,-8.072525978088379
15,2.0757081508636475,-0.4580933153629303,-8.178838729858398
20,2.0757081508636475,-0.39384812116622925,-8.197183609008789
25,2.0757081508636475,-0.27739694714546204,-8.199271202087402
30,2.0757081508636475,-0.16489723324775696,-8.2205228805542
35,2.0757081508636475,-0.06488839536905289,-8.25294303894043
40,2.0757081508636475,0.06431431323289871,-8.222622871398926
45,2.0757081508636475,0.23781467974185944,-8.219196319580078
50,2.0757081508636475,0.42812198400497437,-8.223371505737305
55,2.0757081508636475,0.6147730350494385,-8.182106018066406
60,2.0757081508636475,0.7858502268791199,-8.179261207580566
65,2.0757081508636475,0.9066842794418335,-8.182517051696777
70,2.0757081508636475,0.9660812616348267,-8.174530029296875
75,2.0757081508636475,0.9998465180397034,-8.145063400268555
80,2.0757081508636475,1.0407191514968872,-8.084189414978027
85,2.0757081508636475,1.0594203472137451,-8.080659866333008
90,2.0757081508636475,1.0579416751861572,-8.1108980178833
95,2.0757081508636475,1.0755131244659424,-8.235984802246094
100,2.0757081508636475,1.1004369258880615,-8.416181564331055
105,2.0757081508636475,1.0974915027618408,-8.63452434539795
110,2.0757081508636475,1.01178777217865,-8.949584007263184
115,2.0757081508636475,0.8990578055381775,-9.230216026306152
120,2.0757081508636475,0.8530348539352417,-9.419126510620117
125,2.0757081508636475,0.8485175967216492,-9.550501823425293
130,2.0757081508636475,0.8499487638473511,-9.556976318359375
135,2.0757081508636475,0.7771894335746765,-9.572282791137695
140,2.0757081508636475,0.5497365593910217,-9.614521026611328
145,2.0757081508636475,0.0959092304110527,-9.64947509765625
150,2.0757081508636475,-0.5800923109054565,-9.439566612243652
155,2.0757081508636475,-1.383725643157959,-9.108759880065918
160,2.7472586631774902,-2.3409128189086914,-9.109016418457031
165,2.6251585483551025,-3.4078609943389893,-9.306286811828613
170,2.5030581951141357,-4.402361869812012,-9.542790412902832
175,2.564108371734619,-5.235482692718506,-9.429676055908203
180,3.1746087074279785,-5.895193576812744,-9.58487606048584
185,3.1746087074279785,-6.284144878387451,-9.839470863342285
190,3.1746087074279785,-6.338030815124512,-9.818753242492676
195,3.1746087074279785,-6.125446796417236,-10.207133293151855
200,3.1746087074279785,-5.607715129852295,-10.457985877990723
205,3.235659599304199,-5.0064592361450195,-10.611106872558594
210,3.5409095287323,-4.570074558258057,-10.53626537322998
215,3.8461599349975586,-4.397234916687012,-10.260205268859863
220,4.334560394287109,-4.417762279510498,-9.781311988830566
225,4.945060729980469,-4.467170238494873,-9.27919864654541
230,5.372411727905273,-4.50768518447876,-8.883987426757812
235,5.555561542510986,-4.519571304321289,-8.704861640930176
240,5.79976224899292,-4.39743185043335,-8.433834075927734
245,5.79976224899292,-4.123175621032715,-8.195594787597656
250,5.860812187194824,-3.7813003063201904,-8.106306076049805
255,6.166062355041504,-3.4710030555725098,-8.020487785339355
260,6.349212646484375,-3.2567954063415527,-7.932399272918701
265,6.4102630615234375,-3.069141149520874,-7.757181167602539
270,6.53236198425293,-2.907273054122925,-7.60975456237793
275,6.53236198425293,-2.8397397994995117,-7.825484275817871
280,6.53236198425293,-2.8177030086517334,-8.497270584106445
285,6.53236198425293,-2.750823974609375,-9.463284492492676
290,6.59341287612915,-2.6872901916503906,-10.397271156311035
295,6.654462814331055,-2.625332832336426,-10.845541000366211
300,6.7765631675720215,-2.534468173980713,-10.754130363464355
305,6.837612152099609,-2.427652359008789,-10.551420211791992
310,6.89866304397583,-2.330554962158203,-10.171134948730469
315,7.142862796783447,-2.286027431488037,-9.653470993041992
320,7.509163856506348,-2.3004469871520996,-8.688878059387207
325,7.936513423919678,-2.3727803230285645,-7.312564373016357
330,8.363863945007324,-2.51816463470459,-5.814292907714844
335,8.730165481567383,-2.683873414993286,-4.446689605712891
340,9.157513618469238,-2.8147356510162354,-3.793907642364502
345,9.706965446472168,-2.922348976135254,-3.6693923473358154
350,10.07326602935791,-3.0737478733062744,-4.166665554046631
355,10.317464828491211,-3.1978931427001953,-4.79249382019043
360,10.43956470489502,-3.254439115524292,-5.714841365814209
365,10.561666488647461,-3.1970248222351074,-6.822789669036865
370,10.744815826416016,-3.0667223930358887,-8.145938873291016
375,10.744815826416016,-2.95388126373291,-9.414350509643555
380,10.744815826416016,-2.8081469535827637,-10.37993335723877
385,10.744815826416016,-2.670194625854492,-11.034260749816895
390,10.744815826416016,-2.5168991088867188,-11.395922660827637
395,10.744815826416016,-2.4104435443878174,-11.12271499633789
400,10.744815826416016,-2.4238522052764893,-9.800444602966309
405,10.744815826416016,-2.594611644744873,-7.491052150726318
410,10.744815826416016,-2.8366241455078125,-5.170029163360596
415,10.744815826416016,-3.0991811752319336,-3.821005344390869
420,10.866917610168457,-3.388486623764038,-3.853451728820801
425,11.111115455627441,-3.6680233478546143,-5.10462760925293
430,11.111115455627441,-3.8228659629821777,-6.702507495880127
435,11.111115455627441,-3.775238513946533,-8.099878311157227
440,11.111115455627441,-3.5773284435272217,-9.43488883972168
445,11.233216285705566,-3.3413846492767334,-10.626883506774902
450,11.538467407226562,-3.144179105758667,-11.563643455505371
455,11.72161865234375,-2.9679179191589355,-11.996955871582031
460,11.904766082763672,-2.844128131866455,-11.714402198791504
465,11.904766082763672,-2.7797508239746094,-10.977867126464844
470,11.904766082763672,-2.7537717819213867,-10.135598182678223
475,11.965816497802734,-2.7573182582855225,-9.26976490020752
480,12.08791732788086,-2.790072441101074,-8.118914604187012
485,12.08791732788086,-2.842235565185547,-7.370059013366699
490,12.08791732788086,-2.8549439907073975,-7.402044296264648
495,12.08791732788086,-2.7473576068878174,-7.817598342895508
500,12.08791732788086,-2.5411839485168457,-8.192930221557617
505,12.08791732788086,-2.2584235668182373,-8.528180122375488
510,12.08791732788086,-1.9348177909851074,-8.84753131866455
515,12.08791732788086,-1.6426256895065308,-9.18022346496582
520,12.08791732788086,-1.3927980661392212,-9.560430526733398
525,12.08791732788086,-1.113134741783142,-9.829400062561035
530,12.08791732788086,-0.8549441695213318,-9.961341857910156
535,12.08791732788086,-0.6942935585975647,-9.870068550109863
540,11.843716621398926,-0.6173688769340515,-9.176716804504395
545,11.538467407226562,-0.618144690990448,-8.293596267700195
550,11.17216682434082,-0.6545597910881042,-7.7376298904418945
555,10.744815826416016,-0.5945039987564087,-7.794810771942139
560,10.13431453704834,-0.38089340925216675,-8.45610237121582
565,9.52381420135498,0.03922561556100845,-9.529932975769043
570,8.913313865661621,0.680620014667511,-10.524359703063965
575,8.119665145874023,1.5810866355895996,-10.765765190124512
580,7.081813335418701,2.742577314376831,-10.23254108428955
585,5.982912063598633,3.854027032852173,-9.731658935546875
590,5.006110668182373,4.472075462341309,-9.202651023864746
595,4.334560394287109,4.455846309661865,-9.056256294250488
600,3.5409095287323,3.9673452377319336,-9.822936058044434
605,2.8693583011627197,3.1952199935913086,-11.412384033203125
610,2.2588582038879395,2.479323625564575,-13.168441772460938
615,1.6483575105667114,2.039950370788574,-14.158530235290527
620,1.3431072235107422,1.86855149269104,-14.055837631225586
625,1.3431072235107422,1.8549662828445435,-13.247893333435059
630,1.3431072235107422,1.8202518224716187,-12.070474624633789
635,1.3431072235107422,1.7253592014312744,-10.569840431213379
640,1.3431072235107422,1.679347038269043,-8.872946739196777
645,1.3431072235107422,1.7221304178237915,-7.298918724060059
650,1.3431072235107422,1.769250750541687,-6.086054801940918
655,1.3431072235107422,1.7526944875717163,-5.255360126495361
660,1.3431072235107422,1.7033895254135132,-4.830761432647705
665,1.3431072235107422,1.6611509323120117,-4.850341796875
670,1.3431072235107422,1.6367601156234741,-5.234371185302734
675,1.465207576751709,1.636620044708252,-5.775018215179443
680,1.5262571573257446,1.6266075372695923,-6.500566005706787
685,1.6483575105667114,1.5460078716278076,-7.210271835327148
690,1.6483575105667114,1.3780243396759033,-7.786539077758789
695,1.6483575105667114,1.097905158996582,-8.245548248291016
700,1.6483575105667114,0.7372096180915833,-8.609631538391113
705,1.6483575105667114,0.3747151494026184,-8.702295303344727
710,1.6483575105667114,0.05245339497923851,-8.610697746276855
715,1.6483575105667114,-0.2257964313030243,-8.38027572631836
720,1.6483575105667114,-0.4433852434158325,-8.013978958129883
725,1.6483575105667114,-0.6194621324539185,-7.581263542175293
730,1.7094075679779053,-0.7649245858192444,-7.16495943069458
735,1.7704578638076782,-0.8486300706863403,-6.824187278747559
740,1.7704578638076782,-0.8331223726272583,-6.634104251861572
745,1.8315073251724243,-0.7266660332679749,-6.568486213684082
750,1.8925576210021973,-0.6618583798408508,-6.668873310089111
755,1.8925576210021973,-0.6811482310295105,-6.963667869567871
760,1.8925576210021973,-0.7295476198196411,-7.412085056304932
765,2.014657974243164,-0.753652036190033,-7.884419918060303
770,2.014657974243164,-0.7511584162712097,-8.35350513458252
775,2.014657974243164,-0.7463307976722717,-8.725058555603027
780,2.014657974243164,-0.7439586520195007,-9.0756196975708
785,2.014657974243164,-0.6978251338005066,-9.287117004394531
790,2.014657974243164,-0.5746973156929016,-9.323506355285645
795,2.0757081508636475,-0.4243689179420471,-9.078853607177734
800,2.0757081508636475,-0.32939645648002625,-8.722841262817383
805,2.0757081508636475,-0.3004646599292755,-8.30997085571289
810,2.0757081508636475,-0.2669285535812378,-7.901270866394043
815,2.0757081508636475,-0.19256044924259186,-7.644035816192627
820,2.0757081508636475,-0.06533628702163696,-7.572343826293945
825,2.0757081508636475,0.06485356390476227,-7.75828218460083
830,2.0757081508636475,0.1834508329629898,-8.114386558532715
835,2.0757081508636475,0.3149160146713257,-8.467574119567871
840,2.0757081508636475,0.4071427583694458,-8.680968284606934
845,2.0757081508636475,0.4128844141960144,-8.90632152557373
850,2.0757081508636475,0.36909204721450806,-9.126591682434082
855,2.0757081508636475,0.3211086392402649,-9.331629753112793
860,2.0757081508636475,0.2795839309692383,-9.442779541015625
865,2.0757081508636475,0.24895980954170227,-9.378050804138184
870,2.0757081508636475,0.21491548418998718,-9.237039566040039
875,2.0757081508636475,0.1503622829914093,-9.135343551635742
880,2.0757081508636475,0.04904811829328537,-9.015975952148438
885,2.0757081508636475,-0.10805666446685791,-8.967522621154785
890,2.0757081508636475,-0.30535292625427246,-8.977309226989746
895,2.0757081508636475,-0.46919670701026917,-9.099716186523438
900,2.0757081508636475,-0.5577687621116638,-9.15229320526123
905,2.0757081508636475,-0.6249999403953552,-9.105034828186035
910,2.0757081508636475,-0.6987586617469788,-9.001436233520508
915,2.0757081508636475,-0.7505812048912048,-8.916374206542969
920,2.0757081508636475,-0.7606106996536255,-8.867230415344238
925,2.0757081508636475,-0.731881320476532,-8.784490585327148
930,2.0757081508636475,-0.666971743106842,-8.71098518371582
935,2.4420082569122314,-0.6096832752227783,-8.616159439086914
940,2.8083088397979736,-0.6138261556625366,-8.59425163269043
945,2.8083088397979736,-0.6376791000366211,-8.737759590148926
950,2.8083088397979736,-0.6585714817047119,-9.009605407714844
955,2.8693583011627197,-0.7996011972427368,-9.693012237548828
960,3.052508592605591,-1.127979040145874,-10.823038101196289
965,3.052508592605591,-1.5161876678466797,-11.384778022766113
970,3.052508592605591,-1.8629497289657593,-11.68179988861084
975,3.052508592605591,-2.212491750717163,-11.951945304870605
980,3.052508592605591,-2.501115322113037,-12.135491371154785
985,3.052508592605591,-2.6092076301574707,-11.85067081451416
990,3.052508592605591,-2.5529158115386963,-11.258310317993164
995,3.052508592605591,-2.396644353866577,-10.216667175292969
1000,3.052508592605591,-2.2161879539489746,-9.028353691101074
1005,3.052508592605591,-2.150078535079956,-8.198966979980469
1010,3.1746087074279785,-2.1768035888671875,-7.775507926940918
1015,3.601959228515625,-2.2779664993286133,-7.977105140686035
1020,3.9072091579437256,-2.4256811141967773,-8.437000274658203
1025,4.090359687805176,-2.5975723266601562,-9.211679458618164
1030,4.334560394287109,-2.7702715396881104,-9.963207244873047
1035,4.761910915374756,-2.865267276763916,-10.392848014831543
1040,5.067161560058594,-2.8769400119781494,-10.623565673828125
1045,5.49451208114624,-2.851120948791504,-10.586835861206055
1050,5.9218621253967285,-2.866580009460449,-10.324427604675293
1055,6.288162708282471,-2.9432260990142822,-9.749234199523926
1060,6.7765631675720215,-3.020034074783325,-8.976400375366211
1065,7.020763397216797,-3.087003469467163,-8.412879943847656
1070,7.203913688659668,-3.151371955871582,-8.303611755371094
1075,7.203913688659668,-3.1791608333587646,-8.412361145019531
1080,7.203913688659668,-3.177875518798828,-8.60254955291748
1085,7.203913688659668,-3.1959190368652344,-8.604266166687012
1090,7.203913688659668,-3.1920788288116455,-8.08609676361084
1095,7.203913688659668,-3.1596057415008545,-7.247071743011475
1100,7.203913688659668,-3.1740801334381104,-6.269326210021973
1105,7.203913688659668,-3.2097809314727783,-5.038917541503906
1110,7.203913688659668,-3.2018134593963623,-3.9158527851104736
1115,7.203913688659668,-3.258168935775757,-3.360534191131592
1120,7.203913688659668,-3.434694766998291,-3.293962001800537
1125,7.203913688659668,-3.651201009750366,-3.7297840118408203
1130,7.203913688659668,-3.8238894939422607,-4.797132968902588
1135,7.203913688659668,-3.8984885215759277,-6.24862813949585
1140,7.203913688659668,-3.9023795127868652,-7.83327579498291
1145,7.203913688659668,-3.9214110374450684,-9.11889362335205
1150,7.203913688659668,-4.007374286651611,-9.62104606628418
1155,7.203913688659668,-4.1636643409729,-9.846490859985352
1160,7.203913688659668,-4.324805736541748,-10.00323486328125
1165,7.203913688659668,-4.408202171325684,-9.822333335876465
1170,7.203913688659668,-4.371460914611816,-9.258016586303711
1175,7.203913688659668,-4.272174835205078,-8.478734970092773
1180,7.203913688659668,-4.150043487548828,-7.61945104598999
1185,7.203913688659668,-4.024603366851807,-6.83595609664917
1190,7.203913688659668,-3.9235451221466064,-6.268815517425537
1195,7.203913688659668,-3.8845374584198,-6.105566024780273
1200,7.203913688659668,-3.9273946285247803,-6.170823574066162
1205,7.203913688659668,-4.019408226013184,-6.511517524719238
1210,7.203913688659668,-4.172912120819092,-6.9190449714660645
1215,7.203913688659668,-4.329601287841797,-7.362514019012451
1220,7.203913688659668,-4.480100631713867,-7.623733043670654
1225,7.203913688659668,-4.594213008880615,-8.054183006286621
1230,7.203913688659668,-4.522523880004883,-8.131752967834473
1235,7.203913688659668,-4.341559886932373,-8.022708892822266
1240,7.203913688659668,-4.2589569091796875,-8.071032524108887
1245,7.203913688659668,-4.201687812805176,-8.418804168701172
1250,7.203913688659668,-4.116294860839844,-8.999068260192871
1255,6.715513229370117,-4.085123538970947,-9.133398056030273
1260,6.1050124168396,-4.1317572593688965,-8.862432479858398
1265,5.49451208114624,-4.231295585632324,-8.445186614990234
1270,4.884011745452881,-4.445077419281006,-7.700442314147949
1275,4.273509979248047,-4.874466896057129,-6.879085540771484
1280,3.6630094051361084,-5.483534336090088,-6.131534576416016
1285,3.052508592605591,-5.87156343460083,-5.376550674438477
1290,2.4420082569122314,-5.809927463531494,-5.083280563354492
1295,2.1367578506469727,-5.758298397064209,-5.753232955932617
1300,2.014657974243164,-6.428741455078125,-8.323307037353516
1305,1.7094075679779053,-7.544064521789551,-13.46426010131836
1310,1.6483575105667114,-8.095787048339844,-18.667579650878906
1315,1.6483575105667114,-7.86371374130249,-20.909202575683594
1320,1.6483575105667114,-7.244046688079834,-20.297504425048828
1325,1.6483575105667114,-6.610146999359131,-18.968015670776367
1330,1.6483575105667114,-6.074440002441406,-18.018177032470703
1335,1.6483575105667114,-5.638016223907471,-17.00299072265625
1340,1.6483575105667114,-5.353150367736816,-15.153120040893555
1345,1.6483575105667114,-5.206561088562012,-12.493850708007812
1350,1.6483575105667114,-5.187644958496094,-9.3389253616333
1355,1.6483575105667114,-4.989089488983154,-6.220974922180176
1360,1.6483575105667114,-4.422025203704834,-3.5503203868865967
1365,1.6483575105667114,-3.488388776779175,-1.4117861986160278
