step_time
0.62
1.74
2.955
4.1
5.355
6.545
7.91
9.255
10.92
11.375
12.14
12.605
13.47
13.83
14.735
16.175
17.53
17.845
18.82
19.21
20.155
20.535
21.505
21.915
22.88
24.34
24.655
25.715
26.05
27.54
27.895
28.835
29.285
30.24
30.69
31.795
