relative_time_ms,force,accX,accY
0,4.639810562133789,-11.16287612915039,-7.767145156860352
5,5.250311374664307,-11.355600357055664,-7.779115676879883
10,5.860812187194824,-11.34897518157959,-7.745428562164307
15,6.471312046051025,-11.113945007324219,-7.718514442443848
20,7.081813335418701,-10.66033935546875,-7.67582893371582
25,7.692312717437744,-10.055639266967773,-7.698491096496582
30,8.302813529968262,-9.305005073547363,-7.761091232299805
35,8.913313865661621,-8.47484016418457,-7.9314985275268555
40,9.52381420135498,-7.611199855804443,-7.9697089195251465
45,10.13431453704834,-6.764717102050781,-7.820417881011963
50,10.378515243530273,-5.9885358810424805,-7.50181770324707
55,10.500616073608398,-5.321957111358643,-7.098428726196289
60,10.500616073608398,-4.776539325714111,-6.557680130004883
65,10.500616073608398,-4.391757965087891,-6.029400825500488
70,10.500616073608398,-4.143690586090088,-5.569576263427734
75,10.500616073608398,-3.9419806003570557,-5.516892433166504
80,10.500616073608398,-3.7784667015075684,-5.857195854187012
85,10.500616073608398,-3.6198039054870605,-6.405752182006836
90,10.500616073608398,-3.4229700565338135,-7.0173540115356445
95,10.500616073608398,-3.2661874294281006,-7.716728687286377
100,10.500616073608398,-3.1706130504608154,-8.248884201049805
105,10.500616073608398,-3.161287307739258,-8.730447769165039
110,10.500616073608398,-3.203190326690674,-9.113923072814941
115,10.500616073608398,-3.230365037918091,-9.472992897033691
120,10.500616073608398,-3.2146902084350586,-9.801190376281738
125,10.500616073608398,-3.1893410682678223,-10.023673057556152
130,10.500616073608398,-3.1667091846466064,-9.935181617736816
135,10.805866241455078,-3.1440114974975586,-9.899474143981934
140,11.050065040588379,-3.1203553676605225,-9.790916442871094
145,11.355316162109375,-3.063741683959961,-9.493295669555664
150,11.538467407226562,-2.9526162147521973,-9.23123836517334
155,11.72161865234375,-2.800342321395874,-9.003451347351074
160,11.72161865234375,-2.6537039279937744,-8.80058765411377
165,11.72161865234375,-2.5357885360717773,-8.740951538085938
170,11.72161865234375,-2.4027316570281982,-8.975896835327148
175,11.72161865234375,-2.219161033630371,-9.295897483825684
180,11.72161865234375,-2.02030086517334,-9.683379173278809
185,11.72161865234375,-1.8569446802139282,-10.071136474609375
190,11.17216682434082,-1.7651252746582031,-10.419891357421875
195,10.561666488647461,-1.7584716081619263,-10.614108085632324
200,9.951166152954102,-1.8811286687850952,-10.815940856933594
205,9.340664863586426,-2.1962530612945557,-10.825963020324707
210,8.363863945007324,-2.622441530227661,-10.478429794311523
215,7.142862796783447,-2.794715642929077,-9.508543968200684
220,5.9218621253967285,-2.4339444637298584,-8.972891807556152
225,4.700860023498535,-1.4794329404830933,-8.852815628051758
230,3.479858875274658,-0.026921281591057777,-9.304555892944336
235,2.5030581951141357,1.7234383821487427,-10.763586044311523
240,1.8925576210021973,3.767552137374878,-12.246335983276367
245,1.2820569276809692,5.604182720184326,-13.106010437011719
250,0.6715564727783203,6.5738525390625,-13.208166122436523
255,0.18315599858760834,6.658651828765869,-13.315508842468262
260,0.12210584431886673,6.1610636711120605,-13.259500503540039
265,0.06105595827102661,5.290940761566162,-12.849390029907227
270,0.06105595827102661,4.229325294494629,-12.337204933166504
275,0.06105595827102661,3.023552894592285,-11.59355640411377
280,0.06105595827102661,1.640931487083435,-10.765851974487305
285,0.06105595827102661,0.0315726213157177,-9.787490844726562
290,0.06105595827102661,-1.8309824466705322,-8.650253295898438
295,0.06105595827102661,-3.9412758350372314,-7.344244480133057
300,0.06105595827102661,-6.197902679443359,-5.867349624633789
305,0.06105595827102661,-8.416464805603027,-4.253284454345703
310,0.06105595827102661,-10.635225296020508,-2.669245958328247
315,0.06105595827102661,-12.874130249023438,-1.2978301048278809
320,0.06105595827102661,-14.863027572631836,-0.17316019535064697
325,0.06105595827102661,-16.35190200805664,0.6706154346466064
330,0.06105595827102661,-16.740650177001953,1.1865653991699219
335,0.06105595827102661,-15.874469757080078,1.1516536474227905
340,0.06105595827102661,-14.161090850830078,0.7103649973869324
345,5.785489065601723e-06,-12.299153327941895,-0.30766233801841736
350,5.785489065601723e-06,-10.835396766662598,-1.6963858604431152
355,5.785489065601723e-06,-9.827892303466797,-3.2006707191467285
360,-0.06104438379406929,-9.123055458068848,-4.604779243469238
365,-0.1220942810177803,-8.684097290039062,-5.768062114715576
370,-0.3052445352077484,-8.528386116027832,-6.863069534301758
375,-0.3052445352077484,-8.567770957946777,-7.778101921081543
380,-0.42734456062316895,-8.734050750732422,-8.517425537109375
385,-0.42734456062316895,-8.91043472290039,-9.387130737304688
390,-0.42734456062316895,-9.021905899047852,-9.89484691619873
395,-0.5494447946548462,-9.052279472351074,-10.312785148620605
400,-0.6104947924613953,-9.08106517791748,-10.737873077392578
405,-0.6715449690818787,-9.12028980255127,-11.029391288757324
410,-0.6715449690818787,-9.146754264831543,-11.195579528808594
415,-0.6715449690818787,-9.183486938476562,-11.19467830657959
420,-0.793644905090332,-9.233898162841797,-11.059504508972168
425,-0.793644905090332,-9.29599380493164,-10.789706230163574
430,-0.8546950221061707,-9.389153480529785,-10.469083786010742
435,-0.8546950221061707,-9.495758056640625,-10.096418380737305
440,-0.8546950221061707,-9.539883613586426,-9.614301681518555
445,-0.9157451391220093,-9.505178451538086,-9.155364036560059
450,-0.9767951369285583,-9.420121192932129,-8.818521499633789
455,-0.9767951369285583,-9.285433769226074,-8.629512786865234
460,-1.0988953113555908,-9.116720199584961,-8.604280471801758
465,-1.1599454879760742,-8.899260520935059,-8.668970108032227
470,-1.1599454879760742,-8.649079322814941,-8.790745735168457
475,-1.1599454879760742,-8.407549858093262,-9.0170316696167
480,-1.220995545387268,-8.177201271057129,-9.229982376098633
485,-1.220995545387268,-7.977320194244385,-9.380847930908203
490,-1.220995545387268,-7.818793296813965,-9.463676452636719
495,-1.220995545387268,-7.7137603759765625,-9.515926361083984
500,-1.220995545387268,-7.673544406890869,-9.596163749694824
505,-1.220995545387268,-7.66609525680542,-9.62995433807373
510,-1.220995545387268,-7.656944274902344,-9.684433937072754
515,-1.220995545387268,-7.640347957611084,-9.723126411437988
520,-1.2820453643798828,-7.60048770904541,-9.800349235534668
525,-1.2820453643798828,-7.5094380378723145,-9.893168449401855
530,-1.2820453643798828,-7.3743085861206055,-9.935676574707031
535,-1.2820453643798828,-7.197597026824951,-9.910209655761719
540,-1.2820453643798828,-6.970595836639404,-9.922667503356934
545,-1.2820453643798828,-6.702556133270264,-10.03835678100586
550,-1.037845253944397,-6.398757457733154,-10.253040313720703
555,-1.037845253944397,-6.062980651855469,-10.411935806274414
560,-1.1599454879760742,-5.7091522216796875,-10.556449890136719
565,-1.2820453643798828,-5.347751617431641,-10.749296188354492
570,-1.2820453643798828,-4.9839186668396,-10.972705841064453
575,-1.2820453643798828,-4.650374412536621,-11.270191192626953
580,-1.2820453643798828,-4.399603843688965,-11.666224479675293
585,-1.2820453643798828,-4.248620510101318,-12.069214820861816
590,-1.2820453643798828,-4.181101322174072,-12.26848316192627
595,-1.2820453643798828,-4.189661979675293,-12.552483558654785
600,-1.2820453643798828,-4.298964023590088,-12.778207778930664
605,-1.2820453643798828,-4.46909761428833,-12.992424964904785
610,-1.2820453643798828,-4.688539505004883,-13.05549430847168
