relative_time_ms,force,accX,accY
0,-1.4651957750320435,-7.002957344055176,-9.853511810302734
5,-1.4651957750320435,-7.058166980743408,-9.885220527648926
10,-1.4651957750320435,-7.070296287536621,-9.850420951843262
15,-1.4651957750320435,-7.104265213012695,-9.792645454406738
20,-1.4651957750320435,-7.187783718109131,-9.65577220916748
25,-1.4651957750320435,-7.323402404785156,-9.517749786376953
30,-1.4651957750320435,-7.523746967315674,-9.372493743896484
35,-1.4651957750320435,-7.763716697692871,-9.253558158874512
40,-1.4651957750320435,-8.043888092041016,-9.192893981933594
45,-1.4651957750320435,-8.356550216674805,-9.172131538391113
50,-1.4651957750320435,-8.658224105834961,-9.22053337097168
55,-1.4651957750320435,-8.93433952331543,-9.313908576965332
60,-1.4651957750320435,-9.157675743103027,-9.384843826293945
65,-1.4651957750320435,-9.326480865478516,-9.51404094696045
70,-1.4651957750320435,-9.453655242919922,-9.592156410217285
75,-1.4651957750320435,-9.5352144241333,-9.671229362487793
80,-1.4651957750320435,-9.612990379333496,-9.656391143798828
85,-1.4651957750320435,-9.666733741760254,-9.661720275878906
90,-1.4651957750320435,-9.709794998168945,-9.739544868469238
95,-1.4651957750320435,-9.76728630065918,-9.795936584472656
100,-1.4651957750320435,-9.86550521850586,-9.658696174621582
105,-1.4651957750320435,-10.00020694732666,-9.487615585327148
110,-1.4651957750320435,-10.169230461120605,-9.454358100891113
115,-1.4651957750320435,-10.341168403625488,-9.308026313781738
120,-1.4651957750320435,-10.495965003967285,-9.151634216308594
125,-1.4651957750320435,-10.648770332336426,-9.167096138000488
130,-1.4651957750320435,-10.754384994506836,-9.300985336303711
135,-1.4651957750320435,-10.740181922912598,-9.47437572479248
140,-1.4651957750320435,-10.653139114379883,-9.690583229064941
145,-1.4651957750320435,-10.550579071044922,-9.968490600585938
150,-1.4651957750320435,-10.441129684448242,-10.22446346282959
155,-1.4651957750320435,-10.290802001953125,-10.288578987121582
160,-1.4651957750320435,-10.122515678405762,-10.19924259185791
165,-1.4651957750320435,-9.92192268371582,-9.978631019592285
170,-1.4651957750320435,-9.56181526184082,-9.611273765563965
175,-1.4651957750320435,-8.998899459838867,-9.05670166015625
180,-1.4651957750320435,-8.388136863708496,-8.587297439575195
185,-1.4651957750320435,-7.744145393371582,-8.267422676086426
190,-1.4651957750320435,-7.02900505065918,-8.052197456359863
195,-1.40414559841156,-6.309207439422607,-7.960536479949951
200,-1.2820453643798828,-5.673662185668945,-8.051036834716797
205,-1.220995545387268,-5.186710834503174,-8.404064178466797
210,-1.220995545387268,-4.856755256652832,-9.001057624816895
215,-0.9767951369285583,-4.702564716339111,-9.762446403503418
220,-0.9767951369285583,-4.767719268798828,-10.531890869140625
225,-0.9157451391220093,-4.96869421005249,-11.374570846557617
230,-0.793644905090332,-5.2025628089904785,-12.112493515014648
235,-0.793644905090332,-5.381374835968018,-12.752294540405273
240,-0.7325947880744934,-5.445352554321289,-12.998692512512207
245,-0.6715449690818787,-5.409414291381836,-12.852384567260742
250,-0.6715449690818787,-5.282840251922607,-12.339837074279785
255,-0.6715449690818787,-5.1276373863220215,-11.489944458007812
260,-0.6104947924613953,-5.0170369148254395,-10.439597129821777
265,-0.6104947924613953,-4.973160743713379,-9.285628318786621
270,-0.6104947924613953,-4.957547664642334,-8.204022407531738
275,-0.6104947924613953,-4.968341827392578,-7.241881847381592
280,-0.6104947924613953,-5.006721496582031,-6.679792881011963
285,-0.6104947924613953,-5.072073936462402,-6.407104969024658
290,-0.48839473724365234,-5.172492980957031,-6.432982444763184
295,-0.48839473724365234,-5.2876081466674805,-6.7998552322387695
300,-0.48839473724365234,-5.342472076416016,-7.331998825073242
305,-0.48839473724365234,-5.309866428375244,-7.920027732849121
310,-0.48839473724365234,-5.258535861968994,-8.458991050720215
315,-0.48839473724365234,-5.243963241577148,-8.948724746704102
320,-0.48839473724365234,-5.220119476318359,-9.383994102478027
325,-0.48839473724365234,-5.144011497497559,-9.655035018920898
330,-0.48839473724365234,-5.0197906494140625,-9.803628921508789
335,-0.48839473724365234,-4.868037700653076,-9.84871768951416
340,-0.48839473724365234,-4.706789016723633,-9.827018737792969
345,-0.48839473724365234,-4.531635761260986,-9.851524353027344
350,-0.48839473724365234,-4.372872352600098,-9.733368873596191
355,-0.48839473724365234,-4.233880996704102,-9.704243659973145
360,-0.48839473724365234,-4.117316246032715,-9.63671875
365,-0.48839473724365234,-3.9865386486053467,-9.48496150970459
370,-0.48839473724365234,-3.854890823364258,-9.376659393310547
375,-0.48839473724365234,-3.7584829330444336,-9.280458450317383
380,-0.48839473724365234,-3.6737256050109863,-9.170434951782227
385,-0.48839473724365234,-3.5947396755218506,-9.118025779724121
390,-0.48839473724365234,-3.517483949661255,-9.039800643920898
395,-0.48839473724365234,-3.4457273483276367,-8.985950469970703
400,-0.48839473724365234,-3.3689475059509277,-8.94045639038086
405,-0.48839473724365234,-3.294748067855835,-8.891145706176758
410,-0.48839473724365234,-3.2208595275878906,-8.891386985778809
415,-0.48839473724365234,-3.137763738632202,-8.92688274383545
420,-0.48839473724365234,-3.043396234512329,-8.992560386657715
425,-0.48839473724365234,-2.9558959007263184,-9.063287734985352
430,-0.3052445352077484,-2.8730242252349854,-9.08703899383545
435,0.30525609850883484,-2.8054661750793457,-9.003006935119629
440,0.4273562729358673,-2.7556312084198,-8.94352912902832
445,0.4273562729358673,-2.717524766921997,-9.005265235900879
450,0.4273562729358673,-2.7196176052093506,-9.075329780578613
455,0.4273562729358673,-2.828061580657959,-9.308819770812988
460,0.4273562729358673,-3.1389057636260986,-9.372325897216797
465,0.4273562729358673,-3.7223408222198486,-9.424956321716309
470,0.4273562729358673,-4.534482479095459,-9.383917808532715
475,0.4273562729358673,-5.387406349182129,-9.649227142333984
480,0.4273562729358673,-6.145708084106445,-10.035858154296875
485,0.4884064495563507,-6.790790557861328,-10.396763801574707
490,0.6105062961578369,-7.313155174255371,-10.52798080444336
495,0.9768067598342896,-7.599715709686279,-10.466447830200195
500,1.5262571573257446,-7.524969577789307,-10.041013717651367
505,2.1367578506469727,-7.117182731628418,-9.452245712280273
510,2.7472586631774902,-6.539555072784424,-8.947988510131836
515,3.3577592372894287,-6.038536548614502,-8.43083381652832
520,3.968259572982788,-5.776194095611572,-8.457812309265137
525,4.578760147094727,-5.679466247558594,-9.205118179321289
530,5.189261436462402,-5.627537250518799,-10.262025833129883
535,5.79976224899292,-5.615792751312256,-11.471996307373047
540,6.4102630615234375,-5.592623233795166,-12.176950454711914
545,7.020763397216797,-5.476572036743164,-11.728851318359375
550,7.631263732910156,-5.309589862823486,-10.53131103515625
555,7.997562408447266,-5.0999979972839355,-9.209429740905762
560,8.180713653564453,-4.8515543937683105,-8.260146141052246
565,8.302813529968262,-4.66450834274292,-7.756140232086182
570,8.363863945007324,-4.601287841796875,-7.63718843460083
