Step Times, Accel XZ
15.16,16.114878125301377
16.53,14.629353589025254
17.95,15.16633984289679
19.24,16.162913414596684
20.7,14.810046764886126
22.04,14.322387692075546
23.44,13.854494446548962
24.87,14.636104495499978
26.19,13.803688295717906
27.66,13.933107701949755
29.06,13.645721363470235
30.62,13.991470459956473
32.01,13.762942291205478
33.46,14.426977527829402
35.01,13.835564349416295
36.58,14.94432233984471
38.04,12.847798099834797
39.47,14.262978863620997
40.97,14.302923697796189
42.37,14.171987375481743
45.89,21.058852663899938
47.34,15.94134430791151
48.87,14.87275695012365
50.34,14.767286086490033
51.79,13.79629127003357
53.24,13.5851284575605
54.69,13.658870816527719
56.03,13.132082910199896
57.69,15.375624437149654
60.54,16.042126096111836
61.9,14.75282002469734
63.15,14.98224195420074
64.44,15.342599267770474
65.86,15.81577933156015
67.17,15.218960811499876
68.49,14.710662714542094
69.87,14.727988467666462
71.33,13.563176165811281
72.72,13.08294208718328
74.05,14.275021534741938
75.5,13.584934803642373
76.96,13.762067829481486
78.38,13.481036459054154
79.88,13.637248542700265
83.87,15.97789897948929
85.27,14.180754197621619
86.73,13.558382369996894
88.2,13.819483923782116
89.63,14.749181415048088
91.05,14.448193520895297
92.97,14.872722626586096
94.4,14.490884971228567
96.99,15.926010878671176
99.22,16.400589880769317
100.7,13.346173672689318
102.05,15.493003275790171
103.51,13.560989782130088
104.91,14.336169574434548
106.25,14.675833281933183
107.65,13.631996005568096
108.97,14.063183623178732
110.35,15.067659332929153
111.67,15.76221161633525
113.05,13.337679785661441
114.99,14.790954171150952
116.56,14.86220011368088
117.88,12.63706861064508
119.26,15.174686335053313
120.76,13.452971572786801
122.59,14.33976024469016
124.03,14.267064407325003
125.41,15.344084166421997
126.78,14.398498479364573
128.32,13.501381233874742
129.74,14.27613700787239
131.1,14.505486766515961
132.73,15.724800704412955
134.15,13.946465632222848
137.31,16.04232641519687
138.54,14.892725866599587
139.97,15.641190169295404
141.3,13.599563659739607
142.67,15.582753810923224
144.04,14.105545031755064
145.54,13.569434402798512
146.86,14.601265780443935
148.26,14.129436297654768
149.64,14.225380151356129
150.97,15.74680084868055
152.31,13.892980102313565
153.73,14.783252656162077
155.17,14.800669237781115
156.47,15.910517819732565
157.77,14.685990905418057
159.51,16.06249310755959
160.95,13.736073357195675
162.35,14.780074756858037
163.83,14.602675324102577
165.14,14.429535728365025
166.4,15.409245736580733
167.76,14.691185549723617
169.52,16.37043686279946
170.85,15.88915967650452
172.22,13.848347815788099
173.54,16.211713738470326
175,15.788187558415316
177.32,21.228111460275287
178.57,16.255337439621385
179.88,14.585430916282164
181.2,15.310607163968527
182.52,16.392652197396558
183.79,17.039243059397574
185.18,15.19066728933621
186.49,15.676597086226444
187.93,14.75335275993944
189.48,14.811718372494452
190.79,15.647790777091176
192.25,15.374020548476333
193.59,14.581017448994183
194.98,13.942447556388577
196.47,14.217611991371456
197.85,13.933389917028693
199.47,14.412819985335684
201.2,16.465492161559087
202.51,13.114285484860758
203.94,14.813863242754717
205.36,15.282769922007304
206.8,15.517174933070908
208.04,14.851047389208734
209.89,17.36507945818849
211.18,15.45804397377106
212.63,16.366173520949495
213.89,16.92858255226178
215.44,15.992527772333588
216.85,16.675423661257266
218.11,15.039106853952234
219.44,16.081407122906146
220.85,16.74285885113244
222.16,13.768975113233155
223.56,14.115751304020348
224.87,16.47950956551692
229.77,14.941526598390407
231.07,17.266923603917466
232.49,14.985930208783323
233.83,15.420699123954302
235.11,15.957899158195001
236.46,16.049714734427305
237.74,15.154961776240352
239.1,15.483278744621682
241.13,15.335005906269895
242.36,15.115857083961487
243.64,14.156848300407514
245.1,17.575047236496697
246.4,16.101608271969802
247.85,14.554406079434063
249.14,16.498124727742738
250.52,15.07099460418265
251.84,14.62717033632926
253.09,16.491851613057598
254.88,16.06404690873027
256.11,16.538052182424867
257.43,14.117108263657704
258.79,14.997390288141235
260.12,14.788294227110127
261.44,15.547003952965493
262.93,14.58521555091053
264.28,16.27792743243881
265.57,16.04326760843761
267.61,15.413590726096814
268.95,14.828533833735815
270.37,15.680967769819912
271.8,15.005940841166996
273.11,15.159388950789987
274.85,15.709956742903985
276.07,17.08711561446054
277.53,13.691632648514362
278.93,14.113087433370136
280.25,14.410979819372395
281.63,13.966778008962443
283.01,15.300010491107894
286.87,15.105707609973729
288.3,15.186591967885118
289.65,14.244802924219686
291.39,15.925557777943485
292.76,15.632468218518298
294.08,14.883747670376042
295.73,14.09429605453826
297.04,14.882833467926396
298.55,18.166946848930376
299.94,15.335249382800372
301.17,16.127093387874844
304.64,15.135915273933156
306.1,16.482820082189633
307.47,17.25928355999064
308.88,15.770611756615335
310.37,14.52744960655309
311.8,17.124817300738716
313.15,13.535819392416796
314.6,15.692651620579847
316.02,15.89438989155013
317.45,15.166422141044539
