trial_id,participant_id,steps,step_count,step_variance,timestamp,alpha,beta,gamma,delta
11,3,"[3.194999999999932, 4.019999999999914, 4.769999999999898, 5.494999999999883, 6.254999999999867, 6.999999999999851, 7.769999999999834, 8.544999999999819, 9.274999999999803, 10.019999999999786, 10.849999999999769, 11.909999999999746, 12.68499999999973, 13.509999999999712, 14.424999999999693, 15.224999999999676, 16.06999999999966, 16.85999999999964, 17.669999999999625, 18.489999999999608, 19.339999999999588, 20.27499999999957, 21.15999999999955, 21.99999999999953, 22.819999999999514, 23.639999999999496, 24.43999999999948, 25.214999999999463, 26.029999999999447, 26.79999999999943, 27.544999999999412, 28.294999999999398, 29.01999999999938, 29.819999999999364, 30.59499999999935, 31.429999999999332, 32.22499999999931, 33.054999999999296, 34.139999999999276, 34.889999999999254, 35.73999999999924, 36.634999999999216, 37.4499999999992, 38.679999999999175, 39.46499999999916, 40.574999999999136, 41.36499999999912, 42.1349999999991, 42.97999999999909, 43.824999999999065, 44.759999999999046, 45.649999999999025, 46.54499999999901, 47.49999999999899, 48.559999999998965, 49.42999999999895, 50.29999999999893, 51.249999999998906, 52.09499999999889, 53.67499999999885, 54.55999999999884, 55.32999999999882, 56.189999999998804, 57.099999999998786, 57.93999999999877, 58.794999999998744, 59.63999999999873]",67.0,0.017198,2025-10-07 14:55:23,105.0,125.0,9.0,0.0
12,3,"[2.3299999999999503, 3.1649999999999325, 4.0599999999999135, 4.7599999999998985, 5.454999999999884, 6.144999999999869, 6.849999999999854, 7.549999999999839, 8.209999999999825, 9.079999999999806, 10.214999999999783, 11.184999999999762, 11.944999999999746, 12.969999999999724, 13.764999999999707, 14.599999999999689, 15.354999999999674, 16.189999999999657, 16.659999999999645, 17.35999999999963, 18.139999999999613, 18.939999999999596, 19.72499999999958, 20.56499999999956, 21.434999999999544, 22.20999999999953, 23.00999999999951, 23.85999999999949, 24.714999999999474, 25.589999999999456, 26.38999999999944, 27.21499999999942, 28.2899999999994, 29.15499999999938, 29.92499999999936, 30.704999999999345, 31.429999999999332, 32.299999999999315, 33.0199999999993, 33.84499999999928, 34.65499999999926, 35.484999999999246, 36.29999999999923, 37.234999999999204, 38.10499999999919, 39.614999999999156, 40.394999999999136, 41.19999999999912, 42.1599999999991, 43.00999999999908, 43.85999999999907, 44.80999999999904, 45.76999999999902, 46.56499999999901, 47.41999999999899, 48.34499999999897, 49.18999999999895, 49.999999999998934, 50.75999999999892, 51.5549999999989, 52.42499999999888, 53.269999999998866, 54.144999999998845, 55.32499999999882, 56.3399999999988, 57.18499999999878, 57.999999999998764, 58.84499999999875, 59.61499999999873]",69.0,0.018203,2025-10-07 15:06:19,85.0,125.0,9.0,0.0
13,3,"[5.684999999999879, 6.464999999999862, 7.254999999999845, 7.9999999999998295, 8.699999999999815, 9.469999999999798, 10.29999999999978, 11.069999999999764, 11.814999999999749, 12.68999999999973, 13.484999999999713, 14.314999999999696, 15.124999999999678, 15.90999999999966, 16.679999999999644, 17.539999999999626, 18.40999999999961, 19.20499999999959, 20.014999999999574, 20.854999999999556, 21.69499999999954, 22.509999999999522, 23.359999999999502, 24.179999999999485, 25.054999999999467, 25.899999999999448, 26.68499999999943, 27.744999999999408, 28.529999999999394, 29.409999999999375, 30.234999999999356, 31.04999999999934, 31.95499999999932, 32.819999999999304, 33.67499999999928, 34.59499999999926, 35.494999999999244, 36.319999999999226, 37.209999999999205, 38.07999999999919, 38.86499999999917, 39.734999999999154, 40.56999999999913, 41.33999999999912, 42.384999999999096, 43.249999999999076, 44.12999999999906, 44.96999999999904, 45.844999999999025, 46.679999999999005, 47.92499999999898, 48.75499999999896, 49.62499999999894, 50.46499999999892, 51.344999999998905, 52.16499999999889, 53.129999999998866, 54.03999999999885, 54.83999999999883, 55.77499999999881, 56.65499999999879, 57.464999999998774, 58.32499999999876, 59.13999999999874, 60.00999999999872, 60.859999999998706, 61.73999999999869, 62.61999999999867, 63.31499999999865]",69.0,0.006257,2025-10-07 15:19:39,85.0,95.0,9.0,0.0
14,3,"[2.3299999999999503, 3.0649999999999347, 3.809999999999919, 4.5749999999999025, 5.359999999999886, 6.09999999999987, 6.844999999999854, 7.614999999999838, 8.394999999999822, 9.204999999999805, 9.974999999999788, 10.84499999999977, 11.619999999999752, 12.449999999999735, 13.219999999999718, 13.994999999999703, 14.844999999999684, 15.614999999999668, 16.41999999999965, 17.249999999999634, 18.154999999999614, 18.999999999999595, 19.859999999999577, 20.67499999999956, 21.459999999999543, 22.229999999999528, 23.06999999999951, 23.86499999999949, 24.534999999999478, 25.699999999999452, 26.524999999999434, 27.319999999999418, 28.054999999999403, 28.899999999999384, 29.699999999999367, 30.604999999999347, 31.46999999999933, 32.34999999999931, 33.219999999999295, 34.05999999999928, 34.89999999999926, 35.72999999999924, 36.53499999999922, 37.3699999999992, 38.239999999999185, 39.119999999999166, 40.034999999999144, 40.87999999999913, 41.71499999999911, 42.63499999999909, 43.16999999999908, 44.14999999999906, 44.99499999999904, 45.85499999999902, 46.634999999999, 47.379999999998994, 48.26499999999897, 49.29499999999895, 50.10499999999893, 50.90999999999892, 51.7899999999989, 52.54999999999888, 53.46499999999886, 54.364999999998844, 55.31999999999882, 56.164999999998805, 56.999999999998785, 57.834999999998765, 58.67499999999875, 59.51499999999873, 60.36999999999871]",71.0,0.006558,2025-10-07 15:34:43,85.0,95.0,-9.0,0.0
15,3,"[2.3199999999999505, 2.9849999999999364, 3.699999999999921, 4.414999999999906, 5.14499999999989, 5.864999999999875, 6.604999999999859, 7.279999999999845, 8.01499999999983, 8.754999999999814, 9.559999999999796, 10.35499999999978, 11.144999999999763, 11.594999999999754, 12.499999999999734, 13.234999999999719, 13.969999999999702, 14.694999999999688, 15.49499999999967, 16.284999999999652, 17.064999999999635, 17.76499999999962, 18.554999999999605, 19.404999999999585, 20.18499999999957, 20.999999999999552, 21.749999999999538, 22.619999999999518, 23.4399999999995, 24.254999999999484, 25.049999999999468, 25.87499999999945, 26.77499999999943, 27.61999999999941, 28.444999999999393, 29.269999999999378, 30.04999999999936, 30.874999999999343, 31.794999999999323, 32.599999999999305, 33.76499999999928, 34.55999999999926, 35.354999999999244, 36.17499999999923, 36.964999999999215, 37.7249999999992, 38.52999999999918, 39.42499999999916, 40.189999999999145, 41.04499999999913, 41.914999999999104, 42.78499999999909, 43.65499999999907, 44.56499999999905, 45.35999999999903, 46.14999999999902, 46.989999999999, 47.79499999999898, 48.67499999999896, 49.45999999999895, 50.274999999998926, 51.08999999999891, 51.8599999999989, 52.79499999999887, 53.60499999999886, 54.43999999999884, 55.30999999999882, 56.2699999999988, 56.959999999998786, 57.67999999999877, 58.47999999999875, 59.25499999999874, 60.07499999999872]",73.0,0.007283,2025-10-07 15:43:20,85.0,125.0,-9.0,0.0
16,3,"[2.0999999999999552, 2.8899999999999384, 3.5899999999999235, 3.9099999999999167, 4.274999999999909, 5.019999999999893, 5.729999999999878, 6.534999999999861, 7.1999999999998465, 7.924999999999831, 8.654999999999816, 9.4049999999998, 10.119999999999784, 10.884999999999769, 11.864999999999748, 12.569999999999732, 13.359999999999715, 14.0699999999997, 14.754999999999686, 15.50999999999967, 16.234999999999655, 16.92999999999964, 17.624999999999623, 18.32499999999961, 19.074999999999594, 19.784999999999577, 20.774999999999558, 21.49999999999954, 22.284999999999524, 22.97499999999951, 23.634999999999497, 24.34499999999948, 25.064999999999465, 25.42999999999946, 25.79499999999945, 26.514999999999436, 27.25999999999942, 28.019999999999403, 28.744999999999386, 29.51499999999937, 30.164999999999356, 30.869999999999344, 31.604999999999325, 32.37499999999931, 33.14499999999929, 33.904999999999276, 34.63499999999926, 35.399999999999245, 36.11999999999923, 36.83499999999921, 37.5449999999992, 38.27499999999918, 39.00999999999917, 39.489999999999156, 39.80999999999915, 40.27999999999914, 40.66499999999913, 41.37999999999912, 42.1149999999991, 42.54499999999909, 42.90999999999909, 43.74999999999907, 44.45499999999905, 45.27499999999903, 45.98999999999902, 46.69999999999901, 47.46499999999899, 48.219999999998976, 48.89499999999896, 49.659999999998945, 50.414999999998926, 51.22999999999891, 51.979999999998896, 52.729999999998874, 53.49999999999886, 53.94499999999885, 54.46999999999884, 55.30999999999882, 56.164999999998805, 56.92499999999879, 57.71499999999877, 58.454999999998755, 59.51999999999873, 60.27499999999871]",84.0,0.019625,2025-10-07 15:55:05,105.0,125.0,-9.0,0.0
17,3,"[2.2749999999999515, 3.039999999999935, 3.8199999999999186, 4.559999999999903, 5.344999999999886, 6.1699999999998685, 6.994999999999851, 7.759999999999835, 8.544999999999819, 9.354999999999801, 10.169999999999783, 10.959999999999766, 11.74999999999975, 12.184999999999741, 12.644999999999731, 13.459999999999713, 14.389999999999693, 15.219999999999676, 16.139999999999656, 17.019999999999637, 17.89499999999962, 18.7199999999996, 19.614999999999583, 20.52499999999956, 21.379999999999544, 22.204999999999526, 23.104999999999507, 23.91999999999949, 24.724999999999472, 25.639999999999453, 26.459999999999436, 27.339999999999417, 28.1849999999994, 29.03999999999938, 29.854999999999364, 30.729999999999347, 31.619999999999326, 32.529999999999305, 33.36499999999929, 34.16999999999927, 35.07999999999925, 36.029999999999234, 36.95999999999921, 37.83999999999919, 38.72499999999918, 39.56499999999916, 40.41499999999914, 41.369999999999116, 42.1999999999991, 43.10999999999908, 44.00999999999906, 44.90499999999904, 45.799999999999024, 46.694999999999006, 47.62999999999899, 48.52499999999897, 49.30999999999895, 50.19499999999893, 51.11499999999891, 51.979999999998896, 52.87499999999887, 53.86999999999885, 54.75499999999883, 55.64499999999882, 56.58499999999879, 57.55499999999877, 58.424999999998754, 59.334999999998736, 60.27499999999871]",69.0,0.007993,2025-10-07 16:02:18,105.0,95.0,-9.0,0.0
18,3,"[2.014999999999957, 2.7449999999999415, 3.429999999999927, 4.144999999999912, 4.844999999999897, 5.554999999999882, 6.349999999999865, 7.139999999999848, 7.96999999999983, 8.724999999999815, 9.544999999999797, 10.259999999999781, 11.089999999999764, 11.874999999999748, 12.574999999999733, 13.324999999999717, 14.064999999999701, 14.804999999999685, 15.574999999999669, 16.374999999999652, 17.164999999999633, 17.999999999999616, 18.8399999999996, 19.63999999999958, 20.399999999999565, 21.23499999999955, 22.01499999999953, 22.724999999999515, 23.4799999999995, 24.299999999999482, 25.079999999999465, 25.89499999999945, 26.709999999999432, 27.554999999999414, 28.344999999999395, 29.179999999999378, 30.01499999999936, 30.784999999999343, 31.56999999999933, 32.34499999999931, 33.14499999999929, 33.85999999999928, 34.63999999999926, 35.43499999999924, 36.22999999999923, 37.06499999999921, 37.899999999999196, 38.704999999999174, 39.49999999999916, 40.394999999999136, 41.19499999999912, 42.044999999999106, 43.03999999999908, 43.909999999999066, 44.704999999999046, 45.55999999999903, 46.31499999999901, 47.139999999999, 47.969999999998976, 48.71499999999896, 49.48999999999894, 50.314999999998925, 51.14999999999891, 51.964999999998895, 52.854999999998874, 53.689999999998854, 54.54999999999884, 55.38999999999882, 56.1299999999988, 56.96499999999879, 57.83999999999877, 58.66999999999875, 59.539999999998734, 60.38499999999871]",74.0,0.002869,2025-10-07 16:12:59,95.0,95.0,0.0,0.0
19,4,"[5.109999999999891, 5.959999999999873, 6.739999999999856, 7.4349999999998415, 8.144999999999827, 8.874999999999812, 9.539999999999797, 10.154999999999784, 11.064999999999765, 11.859999999999747, 12.63999999999973, 13.484999999999713, 14.59499999999969, 15.474999999999671, 16.369999999999653, 17.31999999999963, 18.024999999999615, 18.8499999999996, 19.75999999999958, 20.684999999999558, 21.679999999999538, 22.454999999999522, 23.3649999999995, 24.239999999999483, 25.174999999999464, 26.069999999999446, 26.884999999999426, 27.74999999999941, 28.50499999999939, 29.384999999999373, 30.229999999999357, 30.95499999999934, 32.259999999999316, 32.9449999999993, 33.64999999999928, 34.659999999999265, 35.59999999999924, 36.55999999999922, 37.4949999999992, 38.49499999999918, 39.37499999999916, 40.204999999999146, 41.009999999999124, 41.969999999999104, 43.62499999999907, 44.40999999999905, 45.19999999999904, 46.03999999999902, 46.649999999999004, 47.49999999999899, 48.32499999999897, 49.04499999999896, 50.13499999999893, 51.06499999999891, 51.979999999998896, 53.02999999999887, 53.94999999999885, 54.75999999999883, 55.65999999999882, 57.01999999999879, 57.91499999999876, 58.66999999999875, 59.42499999999873, 60.20499999999872]",64.0,0.02832,2025-10-15 13:21:07,95.0,95.0,0.0,0.0
20,4,"[5.15999999999989, 6.0299999999998715, 6.944999999999852, 7.799999999999834, 8.574999999999818, 9.364999999999801, 10.049999999999786, 10.82999999999977, 11.949999999999745, 12.844999999999727, 13.759999999999707, 14.629999999999688, 15.444999999999672, 16.329999999999654, 17.104999999999634, 17.919999999999618, 18.7749999999996, 19.564999999999582, 20.484999999999562, 21.304999999999545, 22.259999999999525, 23.06999999999951, 23.80499999999949, 24.644999999999474, 25.519999999999456, 26.174999999999443, 27.19499999999942, 28.1049999999994, 29.049999999999383, 29.829999999999366, 30.47999999999935, 31.199999999999335, 31.90999999999932, 32.684999999999306, 33.534999999999286, 34.29499999999927, 35.11999999999925, 35.88499999999924, 36.51999999999922, 37.294999999999206, 38.00499999999919, 38.90499999999917, 40.36499999999914, 41.15999999999912, 42.00499999999911, 43.51499999999907, 44.32499999999906, 45.00499999999904, 45.87999999999902, 46.634999999999, 47.259999999998996, 48.064999999998975, 48.944999999998956, 50.28499999999893, 51.14999999999891, 51.8449999999989, 52.57999999999888, 53.82499999999885, 54.51999999999884, 55.339999999998824, 57.28499999999878, 58.19499999999876, 59.03499999999874, 60.374999999998714, 61.1799999999987]",65.0,0.049908,2025-10-15 13:29:32,105.0,95.0,0.0,0.0
